currency	amount	date_time	status	confirmations	transaction_hash
LTC	104.10796364	12/6/2020, 8:15:52 PM	COMPLETE		4ac3822e13c8f65611d76c45a6b434a3566b060462ab589d76ed67f48c6283af
ETH	17.64599999	12/6/2020, 8:12:43 PM	COMPLETE		e9914a1a8e817b34cce68c177915d7552e407a585336dba0e23bcb3dab2aa415
BTC	4.06842207	12/6/2020, 8:09:47 PM	COMPLETE		11604491a37a7a77180529e8025a1b73e6e2fecdb8114670e39dcde595ef5a89
LTC	0.10000000	4/7/2020, 6:35:50 PM	COMPLETE		b827dbac68548def2a1fdd321a67614bb37a9eb62205d4dcc4005174ffcff2d7
ETH	0.03000000	4/7/2020, 6:35:10 PM	COMPLETE		a5bf62ed8519d5284095b389b5d1c7b62270e7ce1b935c220649321de4697bce
BTC	0.10000000	4/7/2020, 6:30:21 PM	COMPLETE		1cb82489634f46f32629849c4f8921bf2b68cec9bd44316f02dbffe1123823db

